customer_id,company_name,country,phone,email,registration_year,credit_tier
CUST0001,GreenPath Exports,DE,+4-859-5614226,greenpathexp@yahoo.com,2011,Silver
CUST0002,SilkRoute Trading,DE,+87-858-2458591,silkroutetra@trade.org,2014,Gold
CUST0003,PacificRim Logistics,US,+12-323-4903402,pacificrimlo@trade.org,2017,Gold
CUST0004,AtlanticCargo Co,GB,+26-833-8038374,atlanticcarg@yahoo.com,2015,Bronze
CUST0005,Nordic Trade Ltd,US,+98-925-3678638,nordictradel@biz.com,2014,Bronze
CUST0006,Horizon Freight,CN,+20-320-6647119,horizonfreig@gmail.com,2009,Platinum
CUST0007,Delta Distributors,DE,+46-967-6770619,deltadistrib@trade.org,2012,Gold
CUST0008,Pinnacle Imports,FR,+69-227-7350753,pinnacleimpo@gmail.com,2016,Bronze
CUST0009,RedStar Exports,JP,+47-691-4226067,redstarexpor@biz.com,2009,Gold
CUST0010,Summit Supply Chain,AE,+99-396-2338687,summitsupply@yahoo.com,2009,Platinum
CUST0011,ClearWater Trading,CN,+59-750-7120868,clearwatertr@yahoo.com,2013,Bronze
CUST0012,TropicCargo Ltd,AE,+86-373-2197935,tropiccargol@trade.org,2018,Silver
CUST0013,MidEast Traders,GB,+94-350-3741438,mideasttrade@company.net,2014,Bronze
CUST0014,FarEast Imports,GB,+29-801-6440561,fareastimpor@gmail.com,2011,Gold
CUST0015,WestCoast Freight,SG,+52-374-2110460,westcoastfre@yahoo.com,2017,Bronze
CUST0016,EuroTrade GmbH,AE,+84-611-7637601,eurotradegmb@biz.com,2015,Silver
CUST0017,AsiaLink Exports,CN,+18-352-5408072,asialinkexpo@biz.com,2017,Platinum
CUST0018,GlobalMart Inc,JP,+52-470-4679591,globalmartin@yahoo.com,2016,Platinum
CUST0019,PrimeCargo Solutions,DE,+97-148-2839607,primecargoso@yahoo.com,2018,Silver
CUST0020,ArcticFreight,KR,+77-165-7455324,arcticfreigh@company.net,2017,Platinum
CUST0021,SunRise Imports,GB,+33-666-1192619,sunriseimpor@biz.com,2019,Gold
CUST0022,CrossOcean Ltd,GB,+97-373-6707197,crossoceanlt@gmail.com,2012,Platinum
CUST0023,StarPort Traders,NL,+59-103-5418934,starporttrad@trade.org,2020,Silver
CUST0024,MountainPeak Co,GB,+14-991-6007072,mountainpeak@biz.com,2016,Silver
CUST0025,SilverLine Exports,NL,+48-880-3710343,silverlineex@trade.org,2020,Gold
CUST0026,BlueSky Logistics,JP,+42-600-1326765,blueskylogis@gmail.com,2013,Bronze
CUST0027,IronGate Trading,AE,+8-346-2321324,irongatetrad@gmail.com,2019,Platinum
CUST0028,CopperCoast Inc,DE,+98-645-3109911,coppercoasti@yahoo.com,2018,Platinum
CUST0029,GoldenRoute Ltd,GB,+22-371-9852897,goldenroutel@trade.org,2014,Silver
CUST0030,BlueSea Imports 30,GB,+97-847-4374754,blueseaimpor@biz.com,2012,Platinum
CUST0031,GreenPath Exports 31,SG,+57-629-8574680,greenpathexp@gmail.com,2011,Silver
CUST0032,SilkRoute Trading 32,DE,+44-121-4860684,silkroutetra@trade.org,2011,Gold
CUST0033,PacificRim Logistics 33,DE,+91-746-1987737,pacificrimlo@yahoo.com,2009,Gold
